T/1	Light/1	Pupil/3			
383	0.0000	0.0000	0.0000	0.2798	
384	0.0000	0.0000	0.0000	0.2806	
385	0.0000	0.0000	0.0000	0.2814	
386	0.0000	0.0000	0.0000	0.2822	
387	0.0000	0.0000	0.0000	0.2829	
388	0.0000	0.0000	0.0000	0.2837	
389	0.0000	0.0000	0.0000	0.2844	
390	0.0000	0.0000	0.0000	0.2851	
391	0.0000	0.0000	0.0000	0.2858	
392	0.0000	0.0000	0.0000	0.2864	
393	0.0000	0.0000	0.0000	0.2871	
394	0.0000	0.0000	0.0000	0.2877	
395	0.0000	0.0000	0.0000	0.2883	
396	0.0000	0.0000	0.0000	0.2889	
397	0.0000	0.0000	0.0000	0.2895	
398	0.0000	0.0000	0.0000	0.2900	
399	0.0000	0.0000	0.0000	0.2905	
400	0.0000	0.0000	0.0000	0.2911	
401	0.0000	0.0000	0.0000	0.2916	
402	0.0000	0.0000	0.0000	0.2920	
403	0.0000	0.0000	0.0000	0.2925	
404	0.0000	0.0000	0.0000	0.2930	
405	0.0000	0.0000	0.0000	0.2934	
406	0.0000	0.0000	0.0000	0.2938	
407	0.0000	0.0000	0.0000	0.2942	
408	0.0000	0.0000	0.0000	0.2946	
409	0.0000	0.0000	0.0000	0.2950	
410	0.0000	0.0000	0.0000	0.2953	
411	0.0000	0.0000	0.0000	0.2957	
412	0.0000	0.0000	0.0000	0.2960	
413	0.0000	0.0000	0.0000	0.2963	
414	0.0000	0.0000	0.0000	0.2966	
415	0.0000	0.0000	0.0000	0.2969	
416	0.0000	0.0000	0.0000	0.2972	
417	0.0000	0.0000	0.0000	0.2975	
418	0.0000	0.0000	0.0000	0.2977	
419	0.0000	0.0000	0.0000	0.2980	
420	0.0000	0.0000	0.0000	0.2982	
421	0.0000	0.0000	0.0000	0.2985	
422	0.0000	0.0000	0.0000	0.2987	
423	0.0000	0.0000	0.0000	0.2989	
424	0.0000	0.0000	0.0000	0.2991	
425	0.0000	0.0000	0.0000	0.2993	
426	0.0000	0.0000	0.0000	0.2994	
427	0.0000	0.0000	0.0000	0.2996	
428	0.0000	0.0000	0.0000	0.2998	
429	0.0000	0.0000	0.0000	0.2999	
430	0.0000	0.0000	0.0000	0.3001	
431	0.0000	0.0000	0.0000	0.3002	
432	0.0000	0.0000	0.0000	0.3004	
433	0.0000	0.0000	0.0000	0.3005	
434	0.0000	0.0000	0.0000	0.3006	
435	0.0000	0.0000	0.0000	0.3008	
436	0.0000	0.0000	0.0000	0.3009	
437	0.0000	0.0000	0.0000	0.3010	
438	0.0000	0.0000	0.0000	0.3011	
439	0.0000	0.0000	0.0000	0.3012	
440	0.0000	0.0000	0.0000	0.3013	
441	0.0000	0.0000	0.0000	0.3014	
442	0.0000	0.0000	0.0000	0.3015	
443	0.0000	0.0000	0.0000	0.3016	
444	0.0000	0.0000	0.0000	0.3016	
445	0.0000	0.0000	0.0000	0.3017	
446	0.0000	0.0000	0.0000	0.3018	
447	0.0000	0.0000	0.0000	0.3018	
448	0.0000	0.0000	0.0000	0.3019	
449	0.0000	0.0000	0.0000	0.3020	
450	0.0000	0.0000	0.0000	0.3020	
451	0.0000	0.0000	0.0000	0.3021	
452	0.0000	0.0000	0.0000	0.3021	
453	0.0000	0.0000	0.0000	0.3022	
454	0.0000	0.0000	0.0000	0.3022	
455	0.0000	0.0000	0.0000	0.3023	
456	0.0000	0.0000	0.0000	0.3023	
457	0.0000	0.0000	0.0000	0.3024	
458	0.0000	0.0000	0.0000	0.3024	
459	0.0000	0.0000	0.0000	0.3025	
460	0.0000	0.0000	0.0000	0.3025	
461	0.0000	0.0000	0.0000	0.3025	
462	0.0000	0.0000	0.0000	0.3026	
463	0.0000	0.0000	0.0000	0.3026	
464	0.0000	0.0000	0.0000	0.3026	
465	0.0000	0.0000	0.0000	0.3026	
466	0.0000	0.0000	0.0000	0.3027	
467	0.0000	0.0000	0.0000	0.3027	
468	0.0000	0.0000	0.0000	0.3027	
469	0.0000	0.0000	0.0000	0.3027	
470	0.0000	0.0000	0.0000	0.3028	
471	0.0000	0.0000	0.0000	0.3028	
472	0.0000	0.0000	0.0000	0.3028	
473	0.0000	0.0000	0.0000	0.3028	
474	0.0000	0.0000	0.0000	0.3028	
475	0.0000	0.0000	0.0000	0.3029	
476	0.0000	0.0000	0.0000	0.3029	
477	0.0000	0.0000	0.0000	0.3029	
478	0.0000	0.0000	0.0000	0.3029	
479	0.0000	0.0000	0.0000	0.3029	
480	0.0000	0.0000	0.0000	0.3029	
481	0.0000	0.0000	0.0000	0.3029	
482	0.0000	0.0000	0.0000	0.3030	
483	0.0000	0.0000	0.0000	0.3030	
484	0.0000	0.0000	0.0000	0.3030	
485	0.0000	0.0000	0.0000	0.3030	
486	0.0000	0.0000	0.0000	0.3030	
487	0.0000	0.0000	0.0000	0.3030	
488	0.0000	0.0000	0.0000	0.3030	
489	0.0000	0.0000	0.0000	0.3030	
490	0.0000	0.0000	0.0000	0.3030	
491	0.0000	0.0000	0.0000	0.3030	
492	0.0000	0.0000	0.0000	0.3030	
493	0.0000	0.0000	0.0000	0.3031	
494	0.0000	0.0000	0.0000	0.3031	
495	0.0000	0.0000	0.0000	0.3031	
496	0.0000	0.0000	0.0000	0.3031	
497	0.0000	0.0000	0.0000	0.3031	
498	0.0000	0.0000	0.0000	0.3031	
499	0.0000	0.0000	0.0000	0.3031	
500	0.0000	0.0000	0.0000	0.3031	
501	0.0000	0.0000	0.0000	0.3031	
502	0.0000	0.0000	0.0000	0.3031	
503	0.0000	0.0000	0.0000	0.3031	
504	0.0000	0.0000	0.0000	0.3031	
505	0.0000	0.0000	0.0000	0.3031	
506	0.0000	0.0000	0.0000	0.3031	
507	0.0000	0.0000	0.0000	0.3031	
508	0.0000	0.0000	0.0000	0.3031	
509	0.0000	0.0000	0.0000	0.3031	
510	0.0000	0.0000	0.0000	0.3031	
511	0.0000	0.0000	0.0000	0.3031	
512	0.0000	0.0000	0.0000	0.3031	
513	0.0000	0.0000	0.0000	0.3031	
514	0.0000	0.0000	0.0000	0.3031	
515	0.0000	0.0000	0.0000	0.3031	
516	0.0000	0.0000	0.0000	0.3031	
517	0.0000	0.0000	0.0000	0.3031	
518	0.0000	0.0000	0.0000	0.3032	
519	0.0000	0.0000	0.0000	0.3032	
520	0.0000	0.0000	0.0000	0.3032	
521	0.0000	0.0000	0.0000	0.3032	
522	0.0000	0.0000	0.0000	0.3032	
523	0.0000	0.0000	0.0000	0.3032	
524	0.0000	0.0000	0.0000	0.3032	
525	0.0000	0.0000	0.0000	0.3032	
526	0.0000	0.0000	0.0000	0.3032	
527	0.0000	0.0000	0.0000	0.3032	
528	0.0000	0.0000	0.0000	0.3032	
529	0.0000	0.0000	0.0000	0.3032	
530	0.0000	0.0000	0.0000	0.3032	
531	0.0000	0.0000	0.0000	0.3032	
532	0.0000	0.0000	0.0000	0.3032	
533	0.0000	0.0000	0.0000	0.3032	
534	0.0000	0.0000	0.0000	0.3032	
535	0.0000	0.0000	0.0000	0.3032	
536	0.0000	0.0000	0.0000	0.3032	
537	0.0000	0.0000	0.0000	0.3032	
538	0.0000	0.0000	0.0000	0.3032	
539	0.0000	0.0000	0.0000	0.3032	
540	0.0000	0.0000	0.0000	0.3032	
541	0.0000	0.0000	0.0000	0.3032	
542	0.0000	0.0000	0.0000	0.3032	
543	0.0000	0.0000	0.0000	0.3032	
544	0.0000	0.0000	0.0000	0.3032	
545	0.0000	0.0000	0.0000	0.3032	
546	0.0000	0.0000	0.0000	0.3032	
547	0.0000	0.0000	0.0000	0.3032	
548	0.0000	0.0000	0.0000	0.3032	
549	0.0000	0.0000	0.0000	0.3032	
550	0.0000	0.0000	0.0000	0.3032	
551	0.0000	0.0000	0.0000	0.3032	
552	0.0000	0.0000	0.0000	0.3032	
553	0.0000	0.0000	0.0000	0.3032	
554	0.0000	0.0000	0.0000	0.3032	
555	0.0000	0.0000	0.0000	0.3032	
556	0.0000	0.0000	0.0000	0.3032	
557	0.0000	0.0000	0.0000	0.3032	
558	0.0000	0.0000	0.0000	0.3032	
559	0.0000	0.0000	0.0000	0.3032	
560	0.0000	0.0000	0.0000	0.3032	
561	0.0000	0.0000	0.0000	0.3032	
562	0.0000	0.0000	0.0000	0.3032	
563	0.0000	0.0000	0.0000	0.3032	
564	0.0000	0.0000	0.0000	0.3032	
565	0.0000	0.0000	0.0000	0.3032	
566	0.0000	0.0000	0.0000	0.3032	
567	0.0000	0.0000	0.0000	0.3032	
568	0.0000	0.0000	0.0000	0.3032	
569	0.0000	0.0000	0.0000	0.3032	
570	0.0000	0.0000	0.0000	0.3032	
571	0.0000	0.0000	0.0000	0.3032	
572	0.0000	0.0000	0.0000	0.3032	
573	0.0000	0.0000	0.0000	0.3032	
574	0.0000	0.0000	0.0000	0.3032	
575	0.0000	0.0000	0.0000	0.3032	
576	0.0000	0.0000	0.0000	0.3032	
577	0.0000	0.0000	0.0000	0.3032	
578	0.0000	0.0000	0.0000	0.3032	
579	0.0000	0.0000	0.0000	0.3032	
580	0.0000	0.0000	0.0000	0.3032	
581	0.0000	0.0000	0.0000	0.3032	
582	0.0000	0.0000	0.0000	0.3032	
583	0.0000	0.0000	0.0000	0.3032	
584	0.0000	0.0000	0.0000	0.3032	
585	0.0000	0.0000	0.0000	0.3032	
586	0.0000	0.0000	0.0000	0.3032	
587	0.0000	0.0000	0.0000	0.3032	
588	0.0000	0.0000	0.0000	0.3032	
589	0.0000	0.0000	0.0000	0.3032	
590	0.0000	0.0000	0.0000	0.3032	
591	0.0000	0.0000	0.0000	0.3032	
592	0.0000	0.0000	0.0000	0.3032	
593	0.0000	0.0000	0.0000	0.3032	
594	0.0000	0.0000	0.0000	0.3032	
595	0.0000	0.0000	0.0000	0.3032	
596	0.0000	0.0000	0.0000	0.3032	
597	0.0000	0.0000	0.0000	0.3032	
598	0.0000	0.0000	0.0000	0.3032	
599	0.0000	0.0000	0.0000	0.3032	
600	0.0000	0.0000	0.0000	0.3032	
601	0.0000	0.0000	0.0000	0.3032	
602	1.0000	0.0000	0.0000	0.3032	
603	1.0000	0.0000	0.0000	0.3032	
604	1.0000	0.0000	0.0000	0.3032	
